RestaurantName,Sentiment Labels,Review Rating
Simply Thalia,Positive: 0.2631578947368421 Negative: 0.7368421052631579,2
Potter's Lounge,Positive: 0.38461538461538464 Negative: 0.6153846153846154,4
Dunkin' Donuts,Positive: 0.3333333333333333 Negative: 0.6666666666666666,4
Wisma,Positive: 0.6666666666666666 Negative: 0.3333333333333333,4
BackStage Bistro,Positive: 0.42857142857142855 Negative: 0.5714285714285714,4
Alain's,Positive: 0.5 Negative: 0.5,4
Wildberry Cafe,Positive: 0.7307692307692307 Negative: 0.2692307692307692,4
Americana Submarine,Positive: 0.0 Negative: 1.0,2
Silk Road Jackson,Positive: 0.375 Negative: 0.625,4
Avanti Caff̩,Positive: 0.7272727272727273 Negative: 0.2727272727272727,4
Pita Belly,Positive: 0.0 Negative: 1.0,3
Toro Sushi Express,Positive: 0.4166666666666667 Negative: 0.5833333333333334,4
Lloyd's Chicago,Positive: 0.25 Negative: 0.75,3
Berghoff Caf̩,Positive: 0.6956521739130435 Negative: 0.30434782608695654,4
Yolk,Positive: 0.6611957796014069 Negative: 0.3388042203985932,4
Lou Malnati's Pizzeria,Positive: 0.6075949367088608 Negative: 0.3924050632911392,4
Pazzo's @ 311,Positive: 0.5625 Negative: 0.4375,4
Haute Sausage,Positive: 0.6 Negative: 0.4,4
Potbelly Sandwich Shop,Positive: 0.5714285714285714 Negative: 0.42857142857142855,4
Tokyo Lunch Boxes & Catering,Positive: 0.3793103448275862 Negative: 0.6206896551724138,4
Coco's Famous Deep Fried Lobster,Positive: 0.25 Negative: 0.75,4
California Pizza Kitchen,Positive: 0.4 Negative: 0.6,4
Hong Kong Cafe,Positive: 0.5833333333333334 Negative: 0.4166666666666667,4
The Zodiac Room,Positive: 0.8571428571428571 Negative: 0.14285714285714285,4
Pockets,Positive: 0.6363636363636364 Negative: 0.36363636363636365,3
Morton's The Steakhouse,Positive: 0.7954545454545454 Negative: 0.20454545454545456,4
Baja Fresh,Positive: 0.75 Negative: 0.25,4
Townhouse Restaurant & Wine Bar,Positive: 0.34782608695652173 Negative: 0.6521739130434783,3
III Forks Prime Steakhouse,Positive: 0.7619047619047619 Negative: 0.23809523809523808,4
Zapatista,Positive: 0.5490196078431373 Negative: 0.45098039215686275,4
Au Bon Pain,Positive: 0.2857142857142857 Negative: 0.7142857142857143,3
Arby's,Positive: 0.0 Negative: 1.0,3
Tamalefoodie,Positive: 0.0 Negative: 1.0,4
The Florentine,Positive: 0.75 Negative: 0.25,4
KFC,Positive: 0.0 Negative: 1.0,3
Petterino's,Positive: 0.6206896551724138 Negative: 0.3793103448275862,4
City Tavern,Positive: 0.65 Negative: 0.35,4
Panera Bread,Positive: 0.5 Negative: 0.5,3
McDonald's,Positive: 0.0 Negative: 1.0,1
Jazzman's Cafe & Bakery,Positive: 0.0 Negative: 1.0,2
Wow Bao Restaurant,Positive: 0.5789473684210527 Negative: 0.42105263157894735,4
The L Cafe,Positive: 0.4 Negative: 0.6,3
Panozzo's Italian Market,Positive: 0.8536585365853658 Negative: 0.14634146341463414,5
Subway Sandwiches,Positive: 0.6666666666666666 Negative: 0.3333333333333333,5
Shark's Fish & Chicken,Positive: 0.16666666666666666 Negative: 0.8333333333333334,3
Gioco,Positive: 0.71 Negative: 0.29,4
Korean Express,Positive: 0.5714285714285714 Negative: 0.42857142857142855,4
Wow Bow,Positive: 0.0 Negative: 1.0,4
Bacci Pizzeria,Positive: 0.4 Negative: 0.6,4
Micky's Chicken & Fish,Positive: 0.6 Negative: 0.4,4
Pastoral,Positive: 0.8488372093023255 Negative: 0.1511627906976744,5
Connie's Pizza,Positive: 0.5 Negative: 0.5,4
Taza,Positive: 0.9239130434782609 Negative: 0.07608695652173914,5
McDonald's,Positive: 0.0 Negative: 1.0,3
Subway,Positive: 0.25 Negative: 0.75,3
I Dream Of Falafel,Positive: 0.6333333333333333 Negative: 0.36666666666666664,4
Cardozo's Pub,Positive: 0.4444444444444444 Negative: 0.5555555555555556,3
Robinson's No 1 Ribs,Positive: 0.5 Negative: 0.5,4
Trattoria No. 10,Positive: 0.8 Negative: 0.2,4
Five Guys Burgers & Fries,Positive: 0.2 Negative: 0.8,4
Subway,Positive: 0.0 Negative: 1.0,3
Augustino's Rock & Roll Deli,Positive: 0.5 Negative: 0.5,4
Chicago Curry House,Positive: 0.6 Negative: 0.4,4
The Walnut Room,Positive: 0.4186046511627907 Negative: 0.5813953488372093,3
Halsted Street Deli,Positive: 0.6666666666666666 Negative: 0.3333333333333333,3
Emil's Bar & Grill,Positive: 0.2857142857142857 Negative: 0.7142857142857143,3
Subway,Positive: 0.6666666666666666 Negative: 0.3333333333333333,3
DOS Hermanos Mexican Restaurante,Positive: 0.3333333333333333 Negative: 0.6666666666666666,4
Subway,Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
au bon pain,Positive: 0.0 Negative: 1.0,1
Bacci Pizzeria,Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Sbarro Italian Eatery,Positive: 0.0 Negative: 1.0,3
The Metropolitan Club,Positive: 0.6153846153846154 Negative: 0.38461538461538464,4
Flavor 180,Positive: 0.5 Negative: 0.5,4
The Scout,Positive: 0.3958333333333333 Negative: 0.6041666666666666,3
Petra Cafe,Positive: 0.3333333333333333 Negative: 0.6666666666666666,3
Alonti Market Cafe,Positive: 0.4444444444444444 Negative: 0.5555555555555556,4
Jimmy John's,Positive: 0.0 Negative: 1.0,4
Davino's Little Pompei,Positive: 0.25 Negative: 0.75,3
Cafe 200,Positive: 0.2857142857142857 Negative: 0.7142857142857143,3
Chipotle Mexican Grill,Positive: 0.42857142857142855 Negative: 0.5714285714285714,3
The India Grill,Positive: 0.16666666666666666 Negative: 0.8333333333333334,2
Mediterranean Delight,Positive: 0.0 Negative: 1.0,3
Lalo's Restaurant,Positive: 0.36363636363636365 Negative: 0.6363636363636364,3
Green Apple Cafe,Positive: 0.6 Negative: 0.4,4
Ponte Fresco,Positive: 0.625 Negative: 0.375,4
Quizno's Sub's,Positive: 0.5 Negative: 0.5,3
5411 Empanadas,Positive: 0.78125 Negative: 0.21875,4
Subway,Positive: 0.0 Negative: 1.0,3
Alonti Cafe,Positive: 0.0 Negative: 1.0,4
Russian Tea Time,Positive: 0.6981132075471698 Negative: 0.3018867924528302,4
Shikago Restaurant,Positive: 0.46153846153846156 Negative: 0.5384615384615384,3
Marcello's Market & Deli,Positive: 0.0 Negative: 1.0,3
Popeye's Famous Fried Chicken,Positive: 0.0 Negative: 1.0,3
Med Kitchen,Positive: 0.5555555555555556 Negative: 0.4444444444444444,4
Haifa Cafe,Positive: 0.25 Negative: 0.75,4
Off the Tracks Grill,Positive: 0.6153846153846154 Negative: 0.38461538461538464,4
McDonald's,Positive: 0.0 Negative: 1.0,3
Einstein Bros Bagels,Positive: 0.0 Negative: 1.0,2
A Mano,Positive: 0.6956521739130435 Negative: 0.30434782608695654,4
Eat & Drink,Positive: 0.46153846153846156 Negative: 0.5384615384615384,3
Subway,Positive: 0.6666666666666666 Negative: 0.3333333333333333,4
Subway,Positive: 0.0 Negative: 1.0,3
The Chicago Firehouse Restaurant,Positive: 0.5616438356164384 Negative: 0.4383561643835616,4
Potbelly Sandwich Works,Positive: 0.6666666666666666 Negative: 0.3333333333333333,4
Cosi,Positive: 0.3333333333333333 Negative: 0.6666666666666666,4
Olive Mediterranean Grill,Positive: 0.9 Negative: 0.1,4
Mezza,Positive: 0.5454545454545454 Negative: 0.45454545454545453,4
KFC & Pizza Hut Express,Positive: 0.0 Negative: 1.0,1
Cocina Barro,Positive: 0.125 Negative: 0.875,3
Potbelly Sandwich Works,Positive: 0.5 Negative: 0.5,4
Tavern At The Park,Positive: 0.40816326530612246 Negative: 0.5918367346938775,4
Cereality Cereal Bar & Cafe,Positive: 0.8181818181818182 Negative: 0.18181818181818182,4
Caffe Baci,Positive: 0.35714285714285715 Negative: 0.6428571428571429,4
Houlihan's,Positive: 0.3 Negative: 0.7,3
Hi Tea,Positive: 0.6666666666666666 Negative: 0.3333333333333333,4
Panda Express,Positive: 0.3333333333333333 Negative: 0.6666666666666666,4
Chipotle Mexican Grill,Positive: 0.0 Negative: 1.0,1
Nino Paninos,Positive: 0.5 Negative: 0.5,4
Barro Mexican Cruisine,Positive: 0.16666666666666666 Negative: 0.8333333333333334,3
Sixty Five Chinese Restaurants,Positive: 0.3333333333333333 Negative: 0.6666666666666666,4
Potbelly Sandwich Shop,Positive: 0.5 Negative: 0.5,4
La Cocina,Positive: 0.2 Negative: 0.8,3
The Grille on Jackson,Positive: 0.0 Negative: 1.0,2
Mac Kelly's Greens & Things,Positive: 0.5555555555555556 Negative: 0.4444444444444444,4
Tokyo Lunch Boxes & Catering,Positive: 0.0 Negative: 1.0,2
China Grill,Positive: 0.48717948717948717 Negative: 0.5128205128205128,3
Chutney Joe's,Positive: 0.0 Negative: 1.0,2
Caffe Baci,Positive: 0.7647058823529411 Negative: 0.23529411764705882,4
McDonald's,Positive: 0.75 Negative: 0.25,3
Waffles,Positive: 0.45454545454545453 Negative: 0.5454545454545454,3
Venice Cafe,Positive: 0.15384615384615385 Negative: 0.8461538461538461,4
Tokyo Lunchbox,Positive: 0.5 Negative: 0.5,3
Rosebud Prime,Positive: 0.5172413793103449 Negative: 0.4827586206896552,4
Hot Woks Cool Sushi,Positive: 0.58 Negative: 0.42,4
Alonti Cafe,Positive: 0.7272727272727273 Negative: 0.2727272727272727,4
Potbelly Sandwich Works,Positive: 0.0 Negative: 1.0,3
Trader Vics,Positive: 0.5 Negative: 0.5,5
Bennigan's Grill & Tavern,Positive: 0.18181818181818182 Negative: 0.8181818181818182,3
Tahini Mediterranean Cafe,Positive: 0.35294117647058826 Negative: 0.6470588235294118,3
Pizza-Ria,Positive: 0.5 Negative: 0.5,4
Panera Bread,Positive: 0.5 Negative: 0.5,4
Pockets,Positive: 0.6 Negative: 0.4,4
Corner Bakery Cafe,Positive: 0.2 Negative: 0.8,3
Vista Carry Out,Positive: 0.0 Negative: 1.0,3
Triple 1 Chinese Restaurant,Positive: 0.6 Negative: 0.4,4
La Cocina,Positive: 0.8 Negative: 0.2,4
Allstars Sports Bar & Grill,Positive: 0.5 Negative: 0.5,3
The Lounge,Positive: 0.5 Negative: 0.5,4
